Nº Registro;Denominación;Fecha última modificación;Dirección;Código Postal;Localidad;Provincia;Teléfono;Email;Web;Naturaleza;Ambito Sectorial;Destinatarios
A-0001;ASOCIACION CASA DE JUVENTUD ALESTE;28/08/20;C/ PAJARILLOS, 1;47012;VALLADOLID;VALLADOLID;983 302823;casaaleste@federboscocyl.org;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, DEPORTIVAS, FOMENTO DEL VOLUNTARIADO, CULTURALES, EDUCATIVAS, SANITARIAS, OCIO Y TIEMPO LIBRE;EXCLUSION SOCIAL, [PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS], INFANCIA, JUVENTUD, POBLACIÓN GENERAL, VOLUNTARIADO
A-0003;H H JOSEFINAS DE LA SANTISIMA TRINIDAD;19/10/17;AVENIDA SALAMANCA 8 1º-A;47014;VALLADOLID;VALLADOLID;983 376658;casaacogidanazareth@yahoo.es;www.casanazareth.es;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;EXCLUSION SOCIAL, VOLUNTARIADO
A-0004;ASOCIACION DE FAMILIARES DE ENFERMOS DE ALZHEIMER Y OTRAS DEMENCIAS DE LA BAÑEZA Y COMARCA;11/03/20;CALLE ERNESTO MENDEZ LUENGO 48;24750;BAÑEZA (LA);LEON;987 640607;alzheimerlabaneza@gmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
A-0005;ASOCIACION DE FAMILIARES DE ALZHEIMER Y DEMENCIAS LACIANA;02/04/18;PLAZA SIERRA PAMBLEY 1;24100;VILLABLINO;LEON;627 922285;alzheimerlaciana@hotmail.es;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
A-0006;ASOCIACION DE FAMILIARES Y AMIGOS DE ENFERMOS DE ALZHEIMER Y OTRAS DEMENCIAS DE BENAVENTE;30/04/19;CALLE BAÑOS DE MONTEMAYOR 10 - B;49600;BENAVENTE;ZAMORA;980 633285;afabenavente@telefonica.net;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
A-0007;ASOCIACIÓN FAMILIARES DE ENFERMOS DE ALZHEIMER DE ARÉVALO Y COMARCA - AFA ARÉVALO Y COMARCA;26/11/20;CALLE AMAYA 13;05200;AREVALO;AVILA;920 301775;afarevalo@hotmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
A-0008;ASOCIACION DE FAMILIARES DE ENFERMOS DE ALZHEIMER DE LA COMARCA DE ISCAR;18/09/17;AVENIDA SAN MIGUEL 58;47420;ISCAR;VALLADOLID;983 611288;AYA-ASESORES@terra.es;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
A-0009;ASOCIACIÓN DE FAMILIARES DE ENFERMOS ALZHEIMER CEBREROS;26/11/20;TRAVESÍA PLAZA ESPAÑA (DE LA) 3 3º;05260;CEBREROS;AVILA;91 8633101;;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
A-0010;ASOCIACIÓN DE FAMILIARES DE ENFERMOS DE ALZHEIMER Y OTRAS DEMENCIAS DE GUARDO ( AFA GUARDO);13/01/21;CALLE SAN ANTONIO 14, BAJO IZDA.;34880;GUARDO;PALENCIA;628 636955;;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, SANITARIAS;PERSONAS MAYORES, DISCAPACIDAD SENSORIAL
A-0011;ASOCIACIÓN PARKINSÓN ÁVILA (APAVI);24/11/20;Centro Residencial "Infantas Elena y Cristina". Avda. Juan Pablo II, nº 20;05003;AVILA;AVILA;920 252069;asociacionparkinsonavila@yahoo.es;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
